GEOID_BG,area_km2,nodes_in_bg,edges_km,node_density,edge_km_density,betweenness_mean,betweenness_p90,aspl_mean
170317501003,0.6666860065025562,39.0,13.2500956258585,58.49830297863087,19.874566882494925,0.03718718230343619,0.06813576102594249,2195.8440033143493
170317505004,1.6109585917150073,40.0,16.21482313224729,24.829936787770862,10.065325834964623,0.0259732298934146,0.05010712683507897,2267.285700329459
170317506004,0.5978752636710712,23.0,9.348696116600538,38.46956279605129,15.636532709511533,0.031611916687573016,0.08644942221122164,1630.6980537585246
170317505003,1.333113481827527,49.0,25.343366848765797,36.756060656462125,19.010659778208307,0.08681630379980217,0.20027922590226319,1710.1851319739926
170317501001,0.5892035522107162,35.0,13.280923592444758,59.402221640854926,22.540467623818934,0.020512772347464424,0.054534907105177666,2780.2413135453685
170317501002,0.4106033294562053,14.0,7.882252270872652,34.09616775037191,19.196756834173133,0.015019303824742928,0.036643178689107866,2776.9232686321016
170317501004,0.6410248498941286,20.0,14.58264615930012,31.200038506000496,22.7489560844772,0.07892869297526414,0.17628204136565462,2104.7135197353455
170317504001,0.9603827735043863,33.0,13.042142624257046,34.36129938023017,13.58015052338658,0.028414921299688405,0.06586482681806229,2157.439507030805
170317502001,0.5187834821451253,14.0,5.626946302497332,26.986210012144564,10.846425331875238,0.02920601280439159,0.0648121219621614,1822.1746938593885
170317502002,0.6531624759959732,22.0,8.638280091381771,33.68227785353614,13.225315918845018,0.0413747955554493,0.07191111179864797,1704.235920436036
170317502003,0.6455127021692334,18.0,7.923634338603254,27.884811467708282,12.274947203945063,0.014156168838423681,0.024138731185124454,2048.646369228121
170317502004,0.5360105604469744,13.0,9.267647496994142,24.253253497765822,17.29004646711799,0.06494516034218709,0.10956097334591526,1753.0393274212972
170317503001,0.37263550784169563,9.0,5.167467789654246,24.152287719782766,13.867352093159916,0.019839305450276474,0.03955958108379871,2390.033728877517
170317503002,0.3725547549662078,16.0,7.219263981961103,42.94670726038985,19.377726054297494,0.022600571600946737,0.05488026545797689,2112.0588159258564
170317503003,0.4426623421937781,13.0,7.364989923516706,29.367756777262006,16.637940980063394,0.008183407329486565,0.020203270269015982,2578.627962692415
170317504002,0.4419606996237946,15.0,7.171688148452054,33.93966932527776,16.226981617498417,0.019185371966028805,0.039189084665006264,2344.2002965875595
170317504003,0.3841256508592713,20.0,6.54179352564669,52.06629641957241,17.030348041098012,0.008270423711770803,0.022864424609006388,2578.7936518092183
170317505001,1.014385621842928,35.0,12.706523171630991,34.503643630528074,12.526324208485802,0.059949480774628125,0.13042324768343053,1750.877228406418
170317505002,0.7718236031405438,35.0,12.81712224987322,45.34714908637841,16.60628438638111,0.04141117920181392,0.06241356372693099,2006.4234365915202
170317506001,0.8813193331195043,22.0,9.231710712742762,24.962575054525516,10.474875979477657,0.0069597284666975115,0.015898859892022343,2662.9847781021663
170317506002,0.32005749317792503,6.0,2.625897847670167,18.746631864246044,8.204456710564775,0.006589396119198263,0.014941679686895719,2342.535863221239
170317506003,0.5630574207557296,18.0,6.972363222282879,31.96832034615687,12.383041169983423,0.029434526725416688,0.06192820568352335,2052.79667709338
